Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
149,J.D. McKissic,RB,26.105,2019-11-28,NFL,DET,,CHI,L 20-24,12,13,Thu,3,3,15,5.00,0,100.0%,5.00
150,Foster Moreau,TE,22.209,2019-12-01,NFL,OAK,@,KAN,L 9-40,12,13,Sun,1,1,15,15.00,0,100.0%,15.00
151,Chris Thompson,RB,29.042,2019-12-01,NFL,WAS,@,CAR,W 29-21,12,13,Sun,2,1,15,15.00,0,50.0%,7.50
152,Frank Gore,RB,36.198,2019-11-28,NFL,BUF,@,DAL,W 26-15,12,13,Thu,1,1,14,14.00,0,100.0%,14.00
153,Diontae Johnson ,WR,23.149,2019-12-01,NFL,PIT,,CLE,W 20-13,12,13,Sun,5,1,14,14.00,0,20.0%,2.80
154,Zay Jones ,WR,24.246,2019-12-01,NFL,OAK,@,KAN,L 9-40,12,13,Sun,3,2,14,7.00,0,66.7%,4.67
155,Mohamed Sanu,WR,30.101,2019-12-01,NFL,NWE,@,HOU,L 22-28,12,13,Sun,5,3,14,4.67,0,60.0%,2.80
156,Tre'Quan Smith,WR,23.325,2019-11-28,NFL,NOR,@,ATL,W 26-18,12,13,Thu,2,2,14,7.00,0,100.0%,7.00
157,Ashton Dulin,WR,22.200,2019-12-01,NFL,IND,,TEN,L 17-31,12,13,Sun,1,1,13,13.00,0,100.0%,13.00
158,Devonta Freeman ,RB,27.258,2019-11-28,NFL,ATL,,NOR,L 18-26,12,13,Thu,5,4,13,3.25,0,80.0%,2.60
159,Royce Freeman,RB,23.280,2019-12-01,NFL,DEN,,LAC,W 23-20,12,13,Sun,4,4,13,3.25,0,100.0%,3.25
160,Cody Hollister ,WR,26.013,2019-12-01,NFL,TEN,@,IND,W 31-17,12,13,Sun,2,2,13,6.50,0,100.0%,6.50
161,Adam Humphries,WR,26.160,2019-12-01,NFL,TEN,@,IND,W 31-17,12,13,Sun,2,1,13,13.00,1,50.0%,6.50
162,Alec Ingold,FB,23.145,2019-12-01,NFL,OAK,@,KAN,L 9-40,12,13,Sun,2,2,13,6.50,0,100.0%,6.50
163,Aaron Jones,RB,24.364,2019-12-01,NFL,GNB,@,NYG,W 31-13,12,13,Sun,6,4,13,3.25,0,66.7%,2.17
164,Durham Smythe,TE,24.084,2019-12-01,NFL,MIA,,PHI,W 37-31,12,13,Sun,3,2,13,6.50,0,66.7%,4.33
165,Tyler Eifert,TE,29.084,2019-12-01,NFL,CIN,,NYJ,W 22-6,12,13,Sun,2,1,12,12.00,0,50.0%,6.00
166,DaeSean Hamilton,WR,24.266,2019-12-01,NFL,DEN,,LAC,W 23-20,12,13,Sun,3,2,12,6.00,0,66.7%,4.00
167,Taysom Hill,QB,29.097,2019-11-28,NFL,NOR,@,ATL,W 26-18,12,13,Thu,2,2,12,6.00,1,100.0%,6.00
168,David Montgomery,RB,22.174,2019-11-28,NFL,CHI,@,DET,W 24-20,12,13,Thu,2,2,12,6.00,1,100.0%,6.00
169,Dare Ogunbowale,RB,25.211,2019-12-01,NFL,TAM,@,JAX,W 28-11,12,13,Sun,2,2,12,6.00,0,100.0%,6.00
170,Willie Snead ,WR/RS,27.045,2019-12-01,NFL,BAL,,SFO,W 20-17,12,13,Sun,2,1,12,12.00,0,50.0%,6.00
171,Andrew Beck,FB/TE,23.200,2019-12-01,NFL,DEN,,LAC,W 23-20,12,13,Sun,1,1,11,11.00,0,100.0%,11.00
172,Keelan Cole,WR,26.225,2019-12-01,NFL,JAX,,TAM,L 11-28,12,13,Sun,2,1,11,11.00,0,50.0%,5.50
173,Keelan Doss,WR,23.255,2019-12-01,NFL,OAK,@,KAN,L 9-40,12,13,Sun,1,1,11,11.00,0,100.0%,11.00
174,Melvin Gordon,RB,26.232,2019-12-01,NFL,LAC,@,DEN,L 20-23,12,13,Sun,3,2,11,5.50,0,66.7%,3.67
175,Da'Mari Scott,WR,24.115,2019-12-01,NFL,NYG,,GNB,L 13-31,12,13,Sun,2,1,11,11.00,0,50.0%,5.50
176,Jonathan Williams,RB,25.302,2019-12-01,NFL,IND,,TEN,L 17-31,12,13,Sun,1,1,11,11.00,0,100.0%,11.00
177,Derek Carrier,TE,29.129,2019-12-01,NFL,OAK,@,KAN,L 9-40,12,13,Sun,2,2,10,5.00,1,100.0%,5.00
178,Josh Gordon,WR,28.233,2019-12-02,NFL,SEA,,MIN,W 37-30,12,13,Mon,1,1,10,10.00,0,100.0%,10.00
179,Hunter Henry ,TE,24.359,2019-12-01,NFL,LAC,@,DEN,L 20-23,12,13,Sun,3,2,10,5.00,0,66.7%,3.33
180,Daniel Brown,TE,27.189,2019-12-01,NFL,NYJ,@,CIN,L 6-22,12,13,Sun,1,1,9,9.00,0,100.0%,9.00
181,Tevin Coleman,RB,26.229,2019-12-01,NFL,SFO,@,BAL,L 17-20,12,13,Sun,1,1,9,9.00,0,100.0%,9.00
182,Blake Jarwin,TE,25.135,2019-11-28,NFL,DAL,,BUF,L 15-26,12,13,Thu,3,2,9,4.50,0,66.7%,3.00
183,David Johnson,RB,27.350,2019-12-01,NFL,ARI,,LAR,L 7-34,12,13,Sun,2,2,9,4.50,0,100.0%,4.50
184,Dion Lewis,RB,29.065,2019-12-01,NFL,TEN,@,IND,W 31-17,12,13,Sun,1,1,9,9.00,0,100.0%,9.00
185,Jordan Wilkins,RB,25.136,2019-12-01,NFL,IND,,TEN,L 17-31,12,13,Sun,3,2,9,4.50,0,66.7%,3.00
186,Tyrell Williams,WR,27.292,2019-12-01,NFL,OAK,@,KAN,L 9-40,12,13,Sun,4,1,9,9.00,0,25.0%,2.25
187,Giovani Bernard,HB,28.009,2019-12-01,NFL,CIN,,NYJ,W 22-6,12,13,Sun,2,1,8,8.00,0,50.0%,4.00
188,Tyler Conklin,TE,24.125,2019-12-02,NFL,MIN,@,SEA,L 30-37,12,13,Mon,2,2,8,4.00,0,100.0%,4.00
189,Jamison Crowder,WR,26.167,2019-12-01,NFL,NYJ,@,CIN,L 6-22,12,13,Sun,9,2,8,4.00,0,22.2%,0.89
190,Will Fuller,WR,25.229,2019-12-01,NFL,HOU,,NWE,W 28-22,12,13,Sun,2,1,8,8.00,0,50.0%,4.00
191,Derrius Guice,RB,22.163,2019-12-01,NFL,WAS,@,CAR,W 29-21,12,13,Sun,2,2,8,4.00,0,100.0%,4.00
192,Terry McLaurin ,WR,24.077,2019-12-01,NFL,WAS,@,CAR,W 29-21,12,13,Sun,4,2,8,4.00,0,50.0%,2.00
193,Raheem Mostert,RB,27.236,2019-12-01,NFL,SFO,@,BAL,L 17-20,12,13,Sun,2,2,8,4.00,0,100.0%,4.00
194,Andre Patton,WR,25.207,2019-12-01,NFL,LAC,@,DEN,L 20-23,12,13,Sun,2,1,8,8.00,0,50.0%,4.00
195,Chris Carson,RB,25.077,2019-12-02,NFL,SEA,,MIN,W 37-30,12,13,Mon,2,1,7,7.00,0,50.0%,3.50
196,Gus Edwards ,RB,24.232,2019-12-01,NFL,BAL,,SFO,W 20-17,12,13,Sun,1,1,7,7.00,0,100.0%,7.00
197,Anthony Sherman,FB,30.355,2019-12-01,NFL,KAN,,OAK,W 40-9,12,13,Sun,1,1,7,7.00,0,100.0%,7.00
198,Nick Vannett,TE,26.270,2019-12-01,NFL,PIT,,CLE,W 20-13,12,13,Sun,1,1,7,7.00,0,100.0%,7.00
199,Jeff Wilson,RB,24.015,2019-12-01,NFL,SFO,@,BAL,L 17-20,12,13,Sun,1,1,7,7.00,0,100.0%,7.00
200,Kenjon Barner,RB,29.214,2019-11-28,NFL,ATL,,NOR,L 18-26,12,13,Thu,2,2,6,3.00,0,100.0%,3.00
201,Jaron Brown,WR,29.328,2019-12-02,NFL,SEA,,MIN,W 37-30,12,13,Mon,1,1,6,6.00,0,100.0%,6.00
202,Myles Gaskin,RB,22.289,2019-12-01,NFL,MIA,,PHI,W 37-31,12,13,Sun,1,1,6,6.00,0,100.0%,6.00
203,Nick O'Leary,TE,27.092,2019-12-01,NFL,JAX,,TAM,L 11-28,12,13,Sun,4,1,6,6.00,0,25.0%,1.50
204,Jalen Richard,RB,26.047,2019-12-01,NFL,OAK,@,KAN,L 9-40,12,13,Sun,2,1,6,6.00,0,50.0%,3.00
205,Irv Smith Jr.,TE,21.115,2019-12-02,NFL,MIN,@,SEA,L 30-37,12,13,Mon,3,1,6,6.00,0,33.3%,2.00
206,Michael Walker,WR,23.033,2019-12-01,NFL,JAX,,TAM,L 11-28,12,13,Sun,2,1,6,6.00,0,50.0%,3.00
207,Deshaun Watson ,QB,24.078,2019-12-01,NFL,HOU,,NWE,W 28-22,12,13,Sun,1,1,6,6.00,1,100.0%,6.00
208,Braxton Berrios,WR,24.056,2019-12-01,NFL,NYJ,@,CIN,L 6-22,12,13,Sun,2,1,5,5.00,0,50.0%,2.50
209,Cameron Brate,TE,28.151,2019-12-01,NFL,TAM,@,JAX,W 28-11,12,13,Sun,1,1,5,5.00,0,100.0%,5.00
210,Deon Cain,WR,23.114,2019-12-01,NFL,PIT,,CLE,W 20-13,12,13,Sun,1,1,5,5.00,0,100.0%,5.00
211,Noah Fant,TE,22.011,2019-12-01,NFL,DEN,,LAC,W 23-20,12,13,Sun,3,1,5,5.00,0,33.3%,1.67
212,Carlos Hyde,RB,29.072,2019-12-01,NFL,HOU,,NWE,W 28-22,12,13,Sun,1,1,5,5.00,0,100.0%,5.00
213,Seth Roberts ,WR,28.282,2019-12-01,NFL,BAL,,SFO,W 20-17,12,13,Sun,2,1,5,5.00,0,50.0%,2.50
214,Greg Ward,WR,24.142,2019-12-01,NFL,PHI,@,MIA,L 31-37,12,13,Sun,3,1,5,5.00,0,33.3%,1.67
215,Nick Boyle,TE,26.287,2019-12-01,NFL,BAL,,SFO,W 20-17,12,13,Sun,2,1,4,4.00,0,50.0%,2.00
216,Phillip Lindsay,RB,25.130,2019-12-01,NFL,DEN,,LAC,W 23-20,12,13,Sun,3,3,4,1.33,0,100.0%,1.33
217,Bilal Powell,RB,31.035,2019-12-01,NFL,NYJ,@,CIN,L 6-22,12,13,Sun,2,2,4,2.00,0,100.0%,2.00
218,Benny Snell Jr.,RB,21.277,2019-12-01,NFL,PIT,,CLE,W 20-13,12,13,Sun,1,1,4,4.00,0,100.0%,4.00
219,Mark Ingram,RB,29.345,2019-12-01,NFL,BAL,,SFO,W 20-17,12,13,Sun,2,2,3,1.50,0,100.0%,1.50
220,Darrel Williams,RB,24.230,2019-12-01,NFL,KAN,,OAK,W 40-9,12,13,Sun,2,1,3,3.00,1,50.0%,1.50
221,Josh Hill,TE,29.191,2019-11-28,NFL,NOR,@,ATL,W 26-18,12,13,Thu,2,1,2,2.00,0,50.0%,1.00
222,Patrick Ricard,FB/DL,25.188,2019-12-01,NFL,BAL,,SFO,W 20-17,12,13,Sun,2,1,2,2.00,0,50.0%,1.00
223,Marquise Brown ,WR,22.180,2019-12-01,NFL,BAL,,SFO,W 20-17,12,13,Sun,2,1,1,1.00,0,50.0%,0.50
224,Olabisi Johnson,WR,22.260,2019-12-02,NFL,MIN,@,SEA,L 30-37,12,13,Mon,3,1,1,1.00,0,33.3%,0.33
225,Marcedes Lewis,TE,35.196,2019-12-01,NFL,GNB,@,NYG,W 31-13,12,13,Sun,2,1,1,1.00,1,50.0%,0.50
226,Ty Montgomery,RB,26.313,2019-12-01,NFL,NYJ,@,CIN,L 6-22,12,13,Sun,1,1,1,1.00,0,100.0%,1.00
227,Jason Sanders,K,24.015,2019-12-01,NFL,MIA,,PHI,W 37-31,12,13,Sun,1,1,1,1.00,1,100.0%,1.00
228,Jonnu Smith,TE,24.101,2019-12-01,NFL,TEN,@,IND,W 31-17,12,13,Sun,2,2,0,0.00,0,100.0%,0.00
1,Emmanuel Sanders ,WR,32.266,2019-12-08,NFL,SFO,@,NOR,W 48-46,13,14,Sun,9,7,157,22.43,1,77.8%,17.44
2,Darius Slayton,WR,22.331,2019-12-09,NFL,NYG,@,PHI,L 17-23,13,14,Mon,8,5,154,30.80,2,62.5%,19.25
3,A.J. Brown,WR,22.161,2019-12-08,NFL,TEN,@,OAK,W 42-21,13,14,Sun,7,5,153,30.60,2,71.4%,21.86
4,Michael Thomas,WR,26.280,2019-12-08,NFL,NOR,,SFO,L 46-48,13,14,Sun,15,11,134,12.18,1,73.3%,8.93
5,DeAndre Hopkins,WR,27.185,2019-12-08,NFL,HOU,,DEN,L 24-38,13,14,Sun,13,7,120,17.14,1,53.8%,9.23
6,Robby Anderson,WR,26.213,2019-12-08,NFL,NYJ,,MIA,W 22-21,13,14,Sun,11,7,117,16.71,1,63.6%,10.64
7,Tyler Higbee,TE,26.341,2019-12-08,NFL,LAR,,SEA,W 28-12,13,14,Sun,11,7,116,16.57,0,63.6%,10.55
8,Noah Fant,TE,22.018,2019-12-08,NFL,DEN,@,HOU,W 38-24,13,14,Sun,4,4,113,28.25,1,100.0%,28.25
9,Austin Ekeler,RB,24.205,2019-12-08,NFL,LAC,@,JAX,W 45-10,13,14,Sun,5,4,112,28.00,1,80.0%,22.40
10,Michael Gallup,WR,23.245,2019-12-05,NFL,DAL,@,CHI,L 24-31,13,14,Thu,10,6,109,18.17,0,60.0%,10.90
11,Marcus Johnson,WR,25.125,2019-12-08,NFL,IND,@,TAM,L 35-38,13,14,Sun,7,3,105,35.00,1,42.9%,15.00
12,Robert Woods,WR,27.242,2019-12-08,NFL,LAR,,SEA,W 28-12,13,14,Sun,9,7,98,14.00,1,77.8%,10.89
13,Julian Edelman,WR,33.200,2019-12-08,NFL,NWE,,KAN,L 16-23,13,14,Sun,12,8,95,11.88,1,66.7%,7.92
14,Olamide Zaccheaus,WR,22.138,2019-12-08,NFL,ATL,,CAR,W 40-20,13,14,Sun,2,1,93,93.00,1,50.0%,46.50
15,Stefon Diggs,WR,26.009,2019-12-08,NFL,MIN,,DET,W 20-7,13,14,Sun,9,6,92,15.33,0,66.7%,10.22
16,Isaiah Ford,WR,23.302,2019-12-08,NFL,MIA,@,NYJ,L 21-22,13,14,Sun,9,6,92,15.33,0,66.7%,10.22
17,Zach Ertz,TE,29.029,2019-12-09,NFL,PHI,,NYG,W 23-17,13,14,Mon,13,9,91,10.11,2,69.2%,7.00
18,Chris Godwin,WR,23.284,2019-12-08,NFL,TAM,,IND,W 38-35,13,14,Sun,9,7,91,13.00,0,77.8%,10.11
19,Christian Kirk,WR,23.020,2019-12-08,NFL,ARI,,PIT,L 17-23,13,14,Sun,9,8,85,10.63,0,88.9%,9.44
20,Keenan Allen,WR,27.225,2019-12-08,NFL,LAC,@,JAX,W 45-10,13,14,Sun,6,5,83,16.60,0,83.3%,13.83
21,Amari Cooper,WR,25.171,2019-12-05,NFL,DAL,@,CHI,L 24-31,13,14,Thu,8,6,83,13.83,1,75.0%,10.38
22,Christian McCaffrey ,RB,23.184,2019-12-08,NFL,CAR,@,ATL,L 20-40,13,14,Sun,12,11,82,7.45,0,91.7%,6.83
23,D.J. Moore,WR,22.238,2019-12-08,NFL,CAR,@,ATL,L 20-40,13,14,Sun,6,4,81,20.25,0,66.7%,13.50
24,D.K. Metcalf,WR,21.359,2019-12-08,NFL,SEA,@,LAR,L 12-28,13,14,Sun,6,6,78,13.00,0,100.0%,13.00
25,Jarvis Landry,WR,27.010,2019-12-08,NFL,CLE,,CIN,W 27-19,13,14,Sun,7,4,76,19.00,0,57.1%,10.86
26,Calvin Ridley,WR,24.353,2019-12-08,NFL,ATL,,CAR,W 40-20,13,14,Sun,5,5,76,15.20,1,100.0%,15.20
27,Deebo Samuel,WR,23.327,2019-12-08,NFL,SFO,@,NOR,W 48-46,13,14,Sun,8,5,76,15.20,0,62.5%,9.50
28,Tyler Boyd,WR,25.023,2019-12-08,NFL,CIN,@,CLE,L 19-27,13,14,Sun,6,5,75,15.00,0,83.3%,12.50
29,DJ Chark,WR,23.076,2019-12-08,NFL,JAX,,LAC,L 10-45,13,14,Sun,10,9,75,8.33,0,90.0%,7.50
30,Zach Pascal,WR,24.355,2019-12-08,NFL,IND,@,TAM,L 35-38,13,14,Sun,9,5,74,14.80,1,55.6%,8.22
31,O.J. Howard ,TE,25.019,2019-12-08,NFL,TAM,,IND,W 38-35,13,14,Sun,5,4,73,18.25,0,80.0%,14.60
32,Hayden Hurst,TE,26.106,2019-12-08,NFL,BAL,@,BUF,W 24-17,13,14,Sun,3,3,73,24.33,1,100.0%,24.33
33,Darren Waller,TE,27.086,2019-12-08,NFL,OAK,,TEN,L 21-42,13,14,Sun,6,6,72,12.00,0,100.0%,12.00
34,Breshad Perriman,WR,26.089,2019-12-08,NFL,TAM,,IND,W 38-35,13,14,Sun,5,3,70,23.33,1,60.0%,14.00
35,Boston Scott,RB,24.226,2019-12-09,NFL,PHI,,NYG,W 23-17,13,14,Mon,6,6,69,11.50,0,100.0%,11.50
36,Keke Coutee,WR,22.328,2019-12-08,NFL,HOU,,DEN,L 24-38,13,14,Sun,8,5,68,13.60,0,62.5%,8.50
37,Allen Hurns,WR,28.026,2019-12-08,NFL,MIA,@,NYJ,L 21-22,13,14,Sun,8,5,68,13.60,0,62.5%,8.50
38,George Kittle,TE,26.060,2019-12-08,NFL,SFO,@,NOR,W 48-46,13,14,Sun,8,6,67,11.17,1,75.0%,8.38
39,Julio Jones ,WR,30.303,2019-12-08,NFL,ATL,,CAR,W 40-20,13,14,Sun,8,5,66,13.20,0,62.5%,8.25
40,Travis Kelce,TE,30.064,2019-12-08,NFL,KAN,@,NWE,W 23-16,13,14,Sun,9,7,66,9.43,0,77.8%,7.33
41,Jared Cook,TE,32.245,2019-12-08,NFL,NOR,,SFO,L 46-48,13,14,Sun,2,2,64,32.00,2,100.0%,32.00
42,Mike Williams ,WR,25.065,2019-12-08,NFL,LAC,@,JAX,W 45-10,13,14,Sun,3,2,63,31.50,1,66.7%,21.00
43,Tyreek Hill,WR,25.282,2019-12-08,NFL,KAN,@,NWE,W 23-16,13,14,Sun,8,6,62,10.33,0,75.0%,7.75
44,Mike Evans,WR,26.109,2019-12-08,NFL,TAM,,IND,W 38-35,13,14,Sun,2,1,61,61.00,1,50.0%,30.50
45,Diontae Johnson ,WR,23.156,2019-12-08,NFL,PIT,@,ARI,W 23-17,13,14,Sun,8,6,60,10.00,1,75.0%,7.50
46,Justin Watson,WR,24.248,2019-12-08,NFL,TAM,,IND,W 38-35,13,14,Sun,8,5,59,11.80,1,62.5%,7.38
47,Kenny Golladay,WR,26.035,2019-12-08,NFL,DET,@,MIN,L 7-20,13,14,Sun,8,6,58,9.67,1,75.0%,7.25
48,Aaron Jones,RB,25.006,2019-12-08,NFL,GNB,,WAS,W 20-15,13,14,Sun,7,6,58,9.67,0,85.7%,8.29
49,Terry McLaurin ,WR,24.084,2019-12-08,NFL,WAS,@,GNB,L 15-20,13,14,Sun,7,4,57,14.25,1,57.1%,8.14
50,Ian Thomas,TE,23.185,2019-12-08,NFL,CAR,@,ATL,L 20-40,13,14,Sun,10,5,57,11.40,1,50.0%,5.70
51,J.P. Holtz,TE,26.099,2019-12-05,NFL,CHI,,DAL,W 31-24,13,14,Thu,3,3,56,18.67,0,100.0%,18.67
52,Ted Ginn Jr.,WR,34.240,2019-12-08,NFL,NOR,,SFO,L 46-48,13,14,Sun,6,4,50,12.50,0,66.7%,8.33
53,Blake Jarwin,TE,25.142,2019-12-05,NFL,DAL,@,CHI,L 24-31,13,14,Thu,7,6,50,8.33,0,85.7%,7.14
54,Tim Patrick,WR,26.015,2019-12-08,NFL,DEN,@,HOU,W 38-24,13,14,Sun,3,2,50,25.00,0,66.7%,16.67
55,Sammy Watkins,WR,26.177,2019-12-08,NFL,KAN,@,NWE,W 23-16,13,14,Sun,8,4,50,12.50,0,50.0%,6.25
56,Jordan Akins,TE,27.233,2019-12-08,NFL,HOU,,DEN,L 24-38,13,14,Sun,9,4,49,12.25,0,44.4%,5.44
57,Tyler Eifert,TE,29.091,2019-12-08,NFL,CIN,@,CLE,L 19-27,13,14,Sun,4,4,49,12.25,0,100.0%,12.25
58,Rico Gafford,WR,23.199,2019-12-08,NFL,OAK,,TEN,L 21-42,13,14,Sun,1,1,49,49.00,1,100.0%,49.00
59,Jimmy Graham,TE,33.014,2019-12-08,NFL,GNB,,WAS,W 20-15,13,14,Sun,5,3,49,16.33,0,60.0%,9.80
60,Mecole Hardman,WR,21.271,2019-12-08,NFL,KAN,@,NWE,W 23-16,13,14,Sun,1,1,48,48.00,1,100.0%,48.00
61,Dare Ogunbowale,RB,25.218,2019-12-08,NFL,TAM,,IND,W 38-35,13,14,Sun,5,5,48,9.60,0,100.0%,9.60
62,Allen Robinson,WR,26.103,2019-12-05,NFL,CHI,,DAL,W 31-24,13,14,Thu,8,5,48,9.60,2,62.5%,6.00
63,Khari Blasingame,FB/RB,23.160,2019-12-08,NFL,TEN,@,OAK,W 42-21,13,14,Sun,2,2,47,23.50,0,100.0%,23.50
64,Alex Erickson ,WR,27.032,2019-12-08,NFL,CIN,@,CLE,L 19-27,13,14,Sun,7,5,45,9.00,0,71.4%,6.43
65,Cooper Kupp,WR,26.176,2019-12-08,NFL,LAR,,SEA,W 28-12,13,14,Sun,4,4,45,11.25,1,100.0%,11.25
66,Randall Cobb,WR,29.105,2019-12-05,NFL,DAL,@,CHI,L 24-31,13,14,Thu,5,2,43,21.50,0,40.0%,8.60
67,Tyler Lockett,WR,27.071,2019-12-08,NFL,SEA,@,LAR,L 12-28,13,14,Sun,6,4,43,10.75,0,66.7%,7.17
68,Chris Thompson,RB,29.049,2019-12-08,NFL,WAS,@,GNB,L 15-20,13,14,Sun,8,7,43,6.14,0,87.5%,5.38
69,DeAndre Washington,RB,26.289,2019-12-08,NFL,OAK,,TEN,L 21-42,13,14,Sun,7,6,43,7.17,0,85.7%,6.14
70,Anthony Miller,WR,25.057,2019-12-05,NFL,CHI,,DAL,W 31-24,13,14,Thu,4,3,42,14.00,1,75.0%,10.50
71,MyCole Pruitt,TE,27.259,2019-12-08,NFL,TEN,@,OAK,W 42-21,13,14,Sun,1,1,42,42.00,0,100.0%,42.00
72,Laquon Treadwell,WR,24.177,2019-12-08,NFL,MIN,,DET,W 20-7,13,14,Sun,2,2,42,21.00,0,100.0%,21.00
73,Davante Adams,WR,26.349,2019-12-08,NFL,GNB,,WAS,W 20-15,13,14,Sun,6,4,41,10.25,0,66.7%,6.83
74,Dallas Goedert,TE,24.340,2019-12-09,NFL,PHI,,NYG,W 23-17,13,14,Mon,6,3,41,13.67,0,50.0%,6.83
75,Kareem Hunt,RB,24.124,2019-12-08,NFL,CLE,,CIN,W 27-19,13,14,Sun,2,2,40,20.00,0,100.0%,20.00
76,Duke Johnson,RB,26.076,2019-12-08,NFL,HOU,,DEN,L 24-38,13,14,Sun,8,6,40,6.67,0,75.0%,5.00
77,Joe Mixon,HB,23.137,2019-12-08,NFL,CIN,@,CLE,L 19-27,13,14,Sun,4,3,40,13.33,0,75.0%,10.00
78,Raheem Mostert,RB,27.243,2019-12-08,NFL,SFO,@,NOR,W 48-46,13,14,Sun,2,2,40,20.00,1,100.0%,20.00
79,Steven Sims,WR,22.252,2019-12-08,NFL,WAS,@,GNB,L 15-20,13,14,Sun,7,4,40,10.00,0,57.1%,5.71
80,Odell Beckham Jr.,WR,27.033,2019-12-08,NFL,CLE,,CIN,W 27-19,13,14,Sun,5,2,39,19.50,0,40.0%,7.80
81,Anthony Firkser,TE,24.292,2019-12-08,NFL,TEN,@,OAK,W 42-21,13,14,Sun,1,1,39,39.00,0,100.0%,39.00
82,Hunter Henry ,TE,25.001,2019-12-08,NFL,LAC,@,JAX,W 45-10,13,14,Sun,4,2,39,19.50,1,50.0%,9.75
83,Marvin Jones ,WR,29.271,2019-12-08,NFL,DET,@,MIN,L 7-20,13,14,Sun,7,3,38,12.67,0,42.9%,5.43
84,Patrick Laird,RB,24.113,2019-12-08,NFL,MIA,@,NYJ,L 21-22,13,14,Sun,5,4,38,9.50,0,80.0%,7.60
85,Dawson Knox,TE,23.034,2019-12-08,NFL,BUF,,BAL,L 17-24,13,14,Sun,4,1,37,37.00,0,25.0%,9.25
86,Joshua Perkins ,TE,26.126,2019-12-09,NFL,PHI,,NYG,W 23-17,13,14,Mon,5,5,37,7.40,0,100.0%,7.40
87,Vyncint Smith,WR,23.182,2019-12-08,NFL,NYJ,,MIA,W 22-21,13,14,Sun,3,1,37,37.00,0,33.3%,12.33
88,Jason Witten,TE,37.213,2019-12-05,NFL,DAL,@,CHI,L 24-31,13,14,Thu,7,5,37,7.40,0,71.4%,5.29
89,DaeSean Hamilton,WR,24.273,2019-12-08,NFL,DEN,@,HOU,W 38-24,13,14,Sun,4,2,36,18.00,0,50.0%,9.00
90,Jesper Horsted,TE,22.281,2019-12-05,NFL,CHI,,DAL,W 31-24,13,14,Thu,4,4,36,9.00,0,100.0%,9.00
91,Darwin Thompson,RB,23.217,2019-12-08,NFL,KAN,@,NWE,W 23-16,13,14,Sun,5,4,36,9.00,0,80.0%,7.20
92,Jakobi Meyers,WR,23.029,2019-12-08,NFL,NWE,,KAN,L 16-23,13,14,Sun,3,1,35,35.00,0,33.3%,11.67
93,Tyrell Williams,WR,27.299,2019-12-08,NFL,OAK,,TEN,L 21-42,13,14,Sun,4,3,35,11.67,0,75.0%,8.75
94,Danny Amendola,WR,34.036,2019-12-08,NFL,DET,@,MIN,L 7-20,13,14,Sun,8,5,34,6.80,0,62.5%,4.25
95,Corey Davis ,WR,24.331,2019-12-08,NFL,TEN,@,OAK,W 42-21,13,14,Sun,4,2,34,17.00,0,50.0%,8.50
96,Josh Gordon,WR,28.239,2019-12-08,NFL,SEA,@,LAR,L 12-28,13,14,Sun,5,2,34,17.00,0,40.0%,6.80
97,Todd Gurley,RB,25.127,2019-12-08,NFL,LAR,,SEA,W 28-12,13,14,Sun,4,4,34,8.50,0,100.0%,8.50
98,Jacob Hollister,TE,26.020,2019-12-08,NFL,SEA,@,LAR,L 12-28,13,14,Sun,6,4,34,8.50,0,66.7%,5.67
99,David Johnson,RB,27.357,2019-12-08,NFL,ARI,,PIT,L 17-23,13,14,Sun,2,2,34,17.00,1,100.0%,17.00
100,Courtland Sutton,WR,24.059,2019-12-08,NFL,DEN,@,HOU,W 38-24,13,14,Sun,7,5,34,6.80,0,71.4%,4.86
101,Greg Ward,WR,24.150,2019-12-09,NFL,PHI,,NYG,W 23-17,13,14,Mon,9,4,34,8.50,0,44.4%,3.78
102,Cordarrelle Patterson,WR,28.263,2019-12-05,NFL,CHI,,DAL,W 31-24,13,14,Thu,1,1,33,33.00,0,100.0%,33.00
103,James Washington,WR,23.250,2019-12-08,NFL,PIT,@,ARI,W 23-17,13,14,Sun,4,4,33,8.25,0,100.0%,8.25
104,Austin Hooper,TE,25.034,2019-12-08,NFL,ATL,,CAR,W 40-20,13,14,Sun,6,2,32,16.00,0,33.3%,5.33
105,Giovani Bernard,HB,28.016,2019-12-08,NFL,CIN,@,CLE,L 19-27,13,14,Sun,3,2,31,15.50,0,66.7%,10.33
106,Cameron Brate,TE,28.158,2019-12-08,NFL,TAM,,IND,W 38-35,13,14,Sun,4,4,30,7.50,1,100.0%,7.50
107,Kenyan Drake,RB,25.316,2019-12-08,NFL,ARI,,PIT,L 17-23,13,14,Sun,3,3,30,10.00,0,100.0%,10.00
108,Kelvin Harmon,WR,22.358,2019-12-08,NFL,WAS,@,GNB,L 15-20,13,14,Sun,4,1,30,30.00,0,25.0%,7.50
109,Ty Montgomery,RB,26.320,2019-12-08,NFL,NYJ,,MIA,W 22-21,13,14,Sun,3,3,30,10.00,0,100.0%,10.00
110,Nick O'Leary,TE,27.099,2019-12-08,NFL,JAX,,LAC,L 10-45,13,14,Sun,5,4,30,7.50,1,80.0%,6.00
