Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
16,Mark Andrews,TE,23.002,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,8,8,108,13.50,1,100.0%,13.50
17,Amari Cooper,WR,25.083,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,9,6,106,17.67,1,66.7%,11.78
18,Tyrell Williams,WR,27.209,2019-09-09,NFL,OAK,,DEN,W 24-16,1,1,Mon,7,6,105,17.50,1,85.7%,15.00
19,Danny Amendola,WR,33.310,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,13,7,104,14.86,1,53.8%,8.00
20,Allen Robinson,WR,26.012,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,13,7,102,14.57,0,53.8%,7.85
21,Ted Ginn Jr.,WR,34.150,2019-09-09,NFL,NOR,,HOU,W 30-28,1,1,Mon,7,7,101,14.43,0,100.0%,14.43
22,A.J. Brown,WR,22.070,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,4,3,100,33.33,0,75.0%,25.00
23,Jamison Crowder,WR,26.083,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,17,14,99,7.07,0,82.4%,5.82
24,Chris Conley,WR,26.318,2019-09-08,NFL,JAX,,KAN,L 26-40,1,1,Sun,7,6,97,16.17,1,85.7%,13.86
25,Austin Ekeler,RB,24.114,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,7,6,96,16.00,2,85.7%,13.71
26,Phillip Dorsett,WR,26.246,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,4,4,95,23.75,2,100.0%,23.75
27,D.K. Metcalf,WR,21.268,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,6,4,89,22.25,0,66.7%,14.83
28,Travis Kelce,TE,29.338,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,8,3,88,29.33,0,37.5%,11.00
29,T.Y. Hilton,WR,29.298,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,9,8,87,10.88,2,88.9%,9.67
30,Emmanuel Sanders ,WR,32.176,2019-09-09,NFL,DEN,@,OAK,L 16-24,1,1,Mon,7,5,86,17.20,1,71.4%,12.29
31,Julian Edelman,WR,33.109,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,11,6,83,13.83,0,54.5%,7.55
32,Christian McCaffrey ,RB,23.093,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,11,10,81,8.10,0,90.9%,7.36
33,JuJu Smith-Schuster,WR,22.290,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,8,6,78,13.00,0,75.0%,9.75
34,Austin Hooper,TE,24.308,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,9,9,77,8.56,0,100.0%,8.56
35,D.J. Moore,WR,22.147,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,10,7,76,10.86,0,70.0%,7.60
36,Derrick Henry ,RB,25.247,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,2,1,75,75.00,1,50.0%,37.50
37,DeVante Parker,WR,26.231,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,7,3,75,25.00,0,42.9%,10.71
38,Cody Latimer,WR,26.333,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,7,3,74,24.67,0,42.9%,10.57
39,Josh Gordon,WR,28.148,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,4,3,73,24.33,1,75.0%,18.25
40,Alvin Kamara,RB,24.046,2019-09-09,NFL,NOR,,HOU,W 30-28,1,1,Mon,8,7,72,10.29,0,87.5%,9.00
41,Odell Beckham Jr.,WR,26.307,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,11,7,71,10.14,0,63.6%,6.45
42,Darren Waller,TE,26.361,2019-09-09,NFL,OAK,,DEN,W 24-16,1,1,Mon,8,7,70,10.00,0,87.5%,8.75
43,Robert Woods,WR,27.151,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,13,8,70,8.75,0,61.5%,5.38
44,Randall Cobb,WR,29.017,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,5,4,69,17.25,1,80.0%,13.80
45,Will Fuller,WR,25.146,2019-09-09,NFL,HOU,@,NOR,L 28-30,1,1,Mon,3,2,69,34.50,0,66.7%,23.00
46,Chris Thompson,RB,28.323,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,10,7,68,9.71,0,70.0%,6.80
47,Jarvis Landry,WR,26.284,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,7,4,67,16.75,0,57.1%,9.57
48,C.J. Uzomah,TE,26.237,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,5,4,66,16.50,0,80.0%,13.20
49,Calvin Ridley,WR,24.262,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,6,4,64,16.00,1,66.7%,10.67
50,Tyler Boyd,WR,24.297,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,12,8,60,7.50,0,66.7%,5.00
51,Hunter Henry ,TE,24.275,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,5,4,60,15.00,0,80.0%,12.00
52,Vernon Davis ,TE,35.220,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,7,4,59,14.75,1,57.1%,8.43
53,Mohamed Sanu,WR,30.017,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,6,5,57,11.40,0,83.3%,9.50
54,Marvin Jones ,WR,29.180,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,4,4,56,14.00,0,100.0%,14.00
55,James White ,RB,27.217,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,7,5,56,11.20,0,71.4%,8.00
56,David Johnson,RB,27.266,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,7,6,55,9.17,1,85.7%,7.86
57,Delanie Walker,TE,35.027,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,6,5,55,11.00,2,83.3%,9.17
58,Zach Ertz,TE,28.302,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,7,5,54,10.80,0,71.4%,7.71
59,George Kittle,TE,25.334,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,10,8,54,6.75,0,80.0%,5.40
60,Chris Godwin,WR,23.193,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,6,3,53,17.67,1,50.0%,8.83
61,Marquez Valdes-Scantling,WR,24.330,2019-09-05,NFL,GNB,@,CHI,W 10-3,1,1,Thu,6,4,52,13.00,0,66.7%,8.67
62,James Washington,WR,23.159,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,6,2,51,25.50,0,33.3%,8.50
63,Tarik Cohen,RB,24.041,2019-09-05,NFL,CHI,,GNB,L 3-10,1,1,Thu,10,8,49,6.13,0,80.0%,4.90
64,Alshon Jeffery,WR,29.206,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,7,5,49,9.80,1,71.4%,7.00
65,Rashard Higgins,WR,24.336,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,3,2,46,23.00,0,66.7%,15.33
66,KeeSean Johnson,WR,22.334,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,10,5,46,9.20,0,50.0%,4.60
67,Cooper Kupp,WR,26.085,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,10,7,46,6.57,0,70.0%,4.60
68,James Conner,RB,24.126,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,4,4,44,11.00,0,100.0%,11.00
